Last Name,First Name,Display Name,Begin Date,End Date,Display Date,City,State,Country,Subcontinent,Continent,ConstituentID,latitude,longitude,geonameId,WhitneyUrl,"[latitude,longitude]",
Poor,Henry Varnum,Henry Varnum Poor,1887,1970,1887-1970,Chapman,Kansas,United States of America,Central North America,North America,1042,38.97222,-97.02251,4269401,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1042"">Whitney.org</a>","[38.97222,-97.02251]","[38.97222,-97.02251]"
Prendergast,Maurice,Maurice Prendergast,1858,1924,1858-1924,St. John's,Newfoundland,Canada,,North America,1052,47.56494,-52.70931,6324733,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1052"">Whitney.org</a>","[47.56494,-52.70931]","[47.56494,-52.70931]"
Presser,Josef,Josef Presser,1909,1967,1909-1967,Lublin,,Poland,Central Europe,Europe,1054,51.25,22.56667,765876,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1054"">Whitney.org</a>","[51.25,22.56667]","[51.25,22.56667]"
Prestopino,Gregorio,Gregorio Prestopino,1907,1984,1907-1984,New York City,New York,United States of America,Central North America,North America,1056,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1056"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Prophet,Nancy Elizabeth,Nancy Elizabeth Prophet,1890,1960,1890-1960,Warwick,Rhode Island,United States of America,Central North America,North America,1060,41.7001,-71.41617,5225507,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1060"">Whitney.org</a>","[41.7001,-71.41617]","[41.7001,-71.41617]"
Quinn,Edmond Thomas,Edmond Thomas Quinn,1868,1929,1868-1929,Philadelphia,Pennsylvania,United States of America,Central North America,North America,1065,39.95233,-75.16379,4560349,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1065"">Whitney.org</a>","[39.95233,-75.16379]","[39.95233,-75.16379]"
Quirt,Walter,Walter Quirt,1902,1968,1902-1968,Iron River,Michigan,United States of America,Central North America,North America,1066,46.09273,-88.64235,4997238,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1066"">Whitney.org</a>","[46.09273,-88.64235]","[46.09273,-88.64235]"
Rasmusson,Daniel,Daniel Rasmusson,1913,0,1913-,San Francisco,California,United States of America,Central North America,North America,1072,37.77493,-122.41942,5391959,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1072"">Whitney.org</a>","[37.77493,-122.41942]","[37.77493,-122.41942]"
Rattner,Abraham,Abraham Rattner,1895,1978,1895-1978,Poughkeepsie,New York,United States of America,Central North America,North America,1073,41.70037,-73.92097,5132143,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1073"">Whitney.org</a>","[41.70037,-73.92097]","[41.70037,-73.92097]"
Redfield,Edward,Edward Redfield,1869,1965,1869-1965,Bridgeville,Delaware,United States of America,Central North America,North America,1077,38.74261,-75.60437,4141632,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1077"">Whitney.org</a>","[38.74261,-75.60437]","[38.74261,-75.60437]"
Reindel,Edna,Edna Reindel,1900,1992,1900-1992,Detroit,Michigan,United States of America,Central North America,North America,1082,42.33143,-83.04575,4990729,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1082"">Whitney.org</a>","[42.33143,-83.04575]","[42.33143,-83.04575]"
Ribak,Louis,Louis Ribak,1903,1979,1903-1979,Grodno,,Belarus,Eurasia,,1090,53.6884,23.8258,627904,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1090"">Whitney.org</a>","[53.6884,23.8258]","[53.6884,23.8258]"
Richards,Walter,Walter DuBois Richards,1907,0,1907-,Penfield,Ohio,United States of America,Central North America,North America,1092,41.16828,-82.12123,5166387,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1092"">Whitney.org</a>","[41.16828,-82.12123]","[41.16828,-82.12123]"
Riggs,Robert,Robert Riggs,1896,1970,1896-1970,Decatur,Illinois,United States of America,Central North America,North America,1098,39.84031,-88.9548,4236895,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1098"">Whitney.org</a>","[39.84031,-88.9548]","[39.84031,-88.9548]"
Robinson,Boardman,Boardman Robinson,1876,1952,1876-1952,Somerset,Nova Scotia,Canada,Northern North America,North America,1103,45.07397,-64.74948,6151193,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1103"">Whitney.org</a>","[45.07397,-64.74948]","[45.07397,-64.74948]"
Robus,Hugo,Hugo Robus,1885,1964,1885-1964,Cleveland,Ohio,United States of America,Central North America,North America,1105,41.4995,-81.69541,5150529,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1105"">Whitney.org</a>","[41.4995,-81.69541]","[41.4995,-81.69541]"
Rohland,Caroline,Caroline Speare Rohland,1885,1965,1885-1965,Boston,Massachusetts,United States of America,Central North America,North America,1109,42.35843,-71.05977,4930956,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1109"">Whitney.org</a>","[42.35843,-71.05977]","[42.35843,-71.05977]"
Rohland,Paul,Paul Rohland,1884,1949,1884-1949,Richmond,Virginia,United States of America,Central North America,North America,1110,37.55376,-77.46026,4781708,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1110"">Whitney.org</a>","[37.55376,-77.46026]","[37.55376,-77.46026]"
Rollo,Jo,Jo Rollo,1904,2001,1904-2001,Ragusa,,Italy,Southern Europe,Europe,1112,36.92574,14.72443,2523650,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1112"">Whitney.org</a>","[36.92574,14.72443]","[36.92574,14.72443]"
Rosen,Charles,Charles Rosen,1878,1950,1878-1950,Reagantown,Pennsylvania,United States of America,Central North America,North America,1120,40.13952,-79.64865,5207750,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1120"">Whitney.org</a>","[40.13952,-79.64865]","[40.13952,-79.64865]"
Roszak,Theodore,Theodore Roszak,1907,1981,1907-1981,Poznań,,Poland,Central Europe,Europe,1128,52.40692,16.92993,3088171,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1128"">Whitney.org</a>","[52.40692,16.92993]","[52.40692,16.92993]"
Roth,Ernest,Ernest Roth,1879,1964,1879-1964,Stuttgart,,Germany,Central Europe,Europe,1129,48.78232,9.17702,2825297,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1129"">Whitney.org</a>","[48.78232,9.17702]","[48.78232,9.17702]"
Rothko,Mark,Mark Rothko,1903,1970,1903-1970,Daugavpils,,Latvia,Northern Europe,Europe,1132,55.88333,26.53333,460413,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1132"">Whitney.org</a>","[55.88333,26.53333]","[55.88333,26.53333]"
Rothschild,Lincoln,Lincoln Rothschild,1902,1983,1902-1983,New York City City,New York,United States of America,Central North America,North America,1133,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1133"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Ruellan,Andrée,Andrée Ruellan,1905,2006,1905 - 2006,New York City City,New York,United States of America,Central North America,North America,1134,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1134"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Ruggles,Carl,Carl Ruggles,1876,1971,1876-1971,Marion,Massachusetts,United States of America,Central North America,North America,1135,41.7001,-70.76281,4943144,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1135"">Whitney.org</a>","[41.7001,-70.76281]","[41.7001,-70.76281]"
Rumsey,Charles Cary,Charles Cary Rumsey,1879,1922,1879-1922,Buffalo,New York,United States of America,Central North America,North America,1136,42.88645,-78.87837,5110629,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1136"">Whitney.org</a>","[42.88645,-78.87837]","[42.88645,-78.87837]"
Ruzicka,Rudolph,Rudolph Ruzicka,1883,1978,1883-1978,Prague,,Czech Republic,Central Europe,Europe,1140,50.08804,14.42076,3067696,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1140"">Whitney.org</a>","[50.08804,14.42076]","[50.08804,14.42076]"
Saalburg,Allen,Allen Saalburg,1899,1987,1899-1987,Rochelle,Illinois,United States of America,Central North America,North America,1145,41.89306,-89.07833,6301709,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1145"">Whitney.org</a>","[41.89306,-89.07833]","[41.89306,-89.07833]"
Santo,Patsy,Patsy Santo,1893,1975,1893-,Corsano,,Italy,Southern Europe,Europe,1152,39.88911,18.36747,2524918,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1152"">Whitney.org</a>","[39.88911,18.36747]","[39.88911,18.36747]"
Sardeau,Hélène,Hélène Sardeau,1899,1969,1899-1969,Antwerp,,Belgium,Western Europe,Europe,1153,51.21989,4.40346,2803138,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1153"">Whitney.org</a>","[51.21989,4.40346]","[51.21989,4.40346]"
Saul,Kovner,Saul,1904,1982,1904-1982,,,Russia,Eurasia,,1160,60,100,2017370,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1160"">Whitney.org</a>","[60,100]","[60,100]"
Sawyer,Helen,Helen Sawyer,1900,1999,1900-,"Washington, D.C.",,United States of America,Central North America,North America,1165,38.89511,-77.03637,4140963,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1165"">Whitney.org</a>","[38.89511,-77.03637]","[38.89511,-77.03637]"
Scaravaglione,Concetta,Concetta Scaravaglione,1900,1975,1900-1975,New York City,New York,United States of America,Central North America,North America,1168,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1168"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Schanker,Louis,Louis Schanker,1903,1981,1903-1981,New York City City,New York,United States of America,Central North America,North America,1170,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1170"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Schmidt,Katherine,Katherine Schmidt,1898,1978,1898-1978,Xenia,Ohio,United States of America,Central North America,North America,1176,39.68478,-83.92965,4528810,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1176"">Whitney.org</a>","[39.68478,-83.92965]","[39.68478,-83.92965]"
