Last Name,First Name,Display Name,Begin Date,End Date,Display Date,City,State,Country,Subcontinent,Continent,ConstituentID,latitude,longitude,geonameId,WhitneyUrl,"[latitude,longitude]",
Trunk,Herman,"Herman Trunk, Jr.",1899,1963,1899-1963,Brooklyn,New York,United States of America,Central North America,North America,1345,40.6501,-73.94958,5110302,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1345"">Whitney.org</a>","[40.6501,-73.94958]","[40.6501,-73.94958]"
Tucker,Allen,Allen Tucker,1866,1939,1866-1939,Brooklyn,New York,United States of America,Central North America,North America,1348,40.6501,-73.94958,5110302,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1348"">Whitney.org</a>","[40.6501,-73.94958]","[40.6501,-73.94958]"
Turnbull,James,James B. Turnbull,1909,1976,1909-1976,St. Louis,Missouri,United States of America,Central North America,North America,1349,38.62727,-90.19789,4407066,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1349"">Whitney.org</a>","[38.62727,-90.19789]","[38.62727,-90.19789]"
Vagis,Polygnotos,Polygnotos Vagis,1894,1965,1894-1965,Thasos,,Greece,Southern Europe,Europe,1360,40.69417,24.66118,734093,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1360"">Whitney.org</a>","[40.69417,24.66118]","[40.69417,24.66118]"
Varian,Dorothy,Dorothy Varian,1895,1985,1895-1985,New York City City,New York,United States of America,Central North America,North America,1366,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1366"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Walkowitz,Abraham,Abraham Walkowitz,1878,1965,1878-1965,Tyumen,Siberia,Russia,Eurasia,,1382,57.15222,65.52722,1488754,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1382"">Whitney.org</a>","[57.15222,65.52722]","[57.15222,65.52722]"
Walters,Carl,Carl Walters,1883,1955,1883-1955,Fort Madison,Iowa,United States of America,Central North America,North America,1383,40.62976,-91.31515,4857507,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1383"">Whitney.org</a>","[40.62976,-91.31515]","[40.62976,-91.31515]"
Wasey,Jane,Jane Wasey,1912,1992,1912-1992,Chicago,Illinois,United States of America,Central North America,North America,1385,41.85003,-87.65005,4887398,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1385"">Whitney.org</a>","[41.85003,-87.65005]","[41.85003,-87.65005]"
Watkins,Franklin,Franklin C. Watkins,1894,1972,1894-1972,New York City City,New York,United States of America,Central North America,North America,1386,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1386"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Watson,Nan,Nan Watson,1876,1966,1876-1966,Edinburgh,,Scotland,Great Britain,Europe,1387,55.95206,-3.19648,2650225,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1387"">Whitney.org</a>","[55.95206,-3.19648]","[55.95206,-3.19648]"
Weber,Max,Max Weber,1881,1961,1881-1961,Bialystok,,Poland,,Europe,1390,53.13333,23.16433,776069,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1390"">Whitney.org</a>","[53.13333,23.16433]","[53.13333,23.16433]"
Wengenroth,Stow,Stow Wengenroth,1907,1978,1907-1978,Brooklyn,New York,United States of America,Central North America,North America,1401,40.6501,-73.94958,5110302,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1401"">Whitney.org</a>","[40.6501,-73.94958]","[40.6501,-73.94958]"
Wheeler,George,George Bernard Wheeler,0,0,,,New York,United States of America,Central North America,North America,1409,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1409"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Wheeler,Steve,Steve Wheeler,1912,1992,1912-1992,Kotehback,,Slovakia,Eastern Europe,Europe,1410,48.66667,19.5,3057568,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1410"">Whitney.org</a>","[48.66667,19.5]","[48.66667,19.5]"
Wheelock,Warren,Warren Wheelock,1880,1960,1880-1960,Sutton,Massachusetts,United States of America,Central North America,North America,1411,42.1501,-71.76285,4952444,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1411"">Whitney.org</a>","[42.1501,-71.76285]","[42.1501,-71.76285]"
White,Charles,Charles White,1918,1979,1918-1979,Chicago,Illinois,United States of America,Central North America,North America,1412,41.85003,-87.65005,4887398,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1412"">Whitney.org</a>","[41.85003,-87.65005]","[41.85003,-87.65005]"
Whitney,Gertrude,Gertrude Vanderbilt Whitney,1875,1942,1875-1942,New York City,New York,United States of America,Central North America,North America,1415,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1415"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Whorf,John,John Whorf,1903,1959,1903-1959,Boston,Massachusetts,United States of America,Central North America,North America,1417,42.35843,-71.05977,4930956,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1417"">Whitney.org</a>","[42.35843,-71.05977]","[42.35843,-71.05977]"
Wickey,Harry,Harry Wickey,1892,1968,1892-1968,Stryker,Ohio,United States of America,Central North America,North America,1418,41.50366,-84.41412,5173264,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1418"">Whitney.org</a>","[41.50366,-84.41412]","[41.50366,-84.41412]"
Wiltz,Arnold,Arnold Wiltz,1889,1937,1889-1937,Berlin,New Hampshire,United States of America,Central North America,North America,1436,44.46867,-71.18508,5083330,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1436"">Whitney.org</a>","[44.46867,-71.18508]","[44.46867,-71.18508]"
Wood,Grant,Grant Wood,1891,1942,1891-1942,Anamosa,Iowa,United States of America,Central North America,North America,1447,42.10834,-91.28516,4846880,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1447"">Whitney.org</a>","[42.10834,-91.28516]","[42.10834,-91.28516]"
Wyeth,Andrew,Andrew Wyeth,1917,2009,1917-2009,Chadds Ford,Pennsylvania,United States of America,Central North America,North America,1451,39.87178,-75.59132,4557084,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1451"">Whitney.org</a>","[39.87178,-75.59132]","[39.87178,-75.59132]"
Yarrow,William,William Yarrow,1891,1941,1891-1941,Glenside,Pennsylvania,United States of America,Central North America,North America,1453,40.10233,-75.15212,5191327,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1453"">Whitney.org</a>","[40.10233,-75.15212]","[40.10233,-75.15212]"
Young,Mahonri,Mahonri M. Young,1877,1957,1877-1957,Salt Lake City,Utah,United States of America,Central North America,North America,1455,40.76078,-111.89105,5780993,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1455"">Whitney.org</a>","[40.76078,-111.89105]","[40.76078,-111.89105]"
Zerbe,Karl,Karl Zerbe,1903,1972,1903-1972,Berlin,New Hampshire,United States of America,Central North America,North America,1461,44.46867,-71.18508,5083330,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1461"">Whitney.org</a>","[44.46867,-71.18508]","[44.46867,-71.18508]"
Zirinsky,Julius,Julius Zirinsky,1898,1970,1898-1970,Libau,,Latvia,Northern Europe,Europe,1464,56.53333,21.01667,454432,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1464"">Whitney.org</a>","[56.53333,21.01667]","[56.53333,21.01667]"
Zorach,Marguerite,Marguerite Zorach,1887,1968,1887-1968,Santa Rosa,California,United States of America,Central North America,North America,1466,38.44047,-122.71443,5393287,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1466"">Whitney.org</a>","[38.44047,-122.71443]","[38.44047,-122.71443]"
Zorach,William,William Zorach,1887,1966,1887-1966,Jurbarkas,,Lithuania,Northern Europe,Europe,1467,55.07778,22.76639,598655,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1467"">Whitney.org</a>","[55.07778,22.76639]","[55.07778,22.76639]"
,,,,,,,,,,,,,,,,"[,]",
,,,,,,,,,,,,,,,,"[,]",
