Title,Author,Language,Year
"Haunted people; story of the poltergeist down the centuries,","Carrington, Hereward, 1880-1959.",English,1951
"Une possédée contemporaine (1834-1914) Hélène Poirier de Coullons Loiret, D'après les notes journalières de trois prètres orléanais,","Champault, Louis, ed.",French,1924
"An appeal to the public respecting George Lukins (called the Yatton demoniac) : containing an account of his affliction and deliverance, together with a variety of circumstances which tend to exculpate him from the charge of imposture","Easterbrook, Joseph.",English,1788
"The great apostle unmask'd; or, A reply to the Rev. Mr. Easterbrook's appeal, in defence of his daemoniac, George Lukins ...","Norman, Samuel.",English,1788
"Witchcraft in the Star chamber,","Ewen, C. L'Estrange (Cecil L'Estrange), 1877-",English,1938
"A dialogue concerning witches & witchcrafts,","Gifford, George, d. 1620.",English,1842
Av overtroens eventyrsaga; billeder fra fordums dager.,"Grøn, Fredrik, 1871-",Norwegian,1933
By the finger of God; demon possession and exorcism in early Christianity in the light of modern views of mental illness.,"McCasland, S. Vernon (Selby Vernon), 1896-1970.",English,1951
Werwolves,"O'Donnell, Elliott, 1872-1965.",English,1912
"Possession, demoniacal and other, among primitive races, in antiquity, the Middle Ages, and modern times.","Oesterreich, Traugott Konstantin, 1880-1949.",English,1930
"Possession, demoniacal and other : among primitive races in antiquity, the Middle Ages, and modern times","Oesterreich, Traugott Konstantin, 1880-1949.",English,1930
Steps to self-mastery,"Parchment, Samuel Richard, 1881-",English,1932
L'homme à la peau de loup.,"Pourrat, Henri, 1887-1959.",French,1950
Demonolatry,"Remy, Nicolas, approximately 1525-1612.",English,1930
"The origin of the werewolf superstition,","Stewart, Caroline Taylor.",English,1909
"The vampire, his kith and kin,","Summers, Montague, 1880-1948.",English,1928
"The werewolf,","Summers, Montague, 1880-1948.",English,1933
"The werewolf,","Summers, Montague, 1880-1948.",English,1934
Prince of darkness.,"Verner, Gerald, ed.",English,1946
"Die reitenden Geister der toten; eine Studie über Besessenheit des 'Abd er-Râdi und über Gespenster und Dämonen, Heilige und verzückte, totenkult und Priestertum in einem oberägyptischen Dorfe,","Winkler, Hans Alexander, 1900-",German,1936
Vampires and vampirism,"Wright, Dudley, 1868-1949.",English,1915
De incubatione capita quattuor; accedit Laudatio in miracula Sancti Hieromartyris Therapontis e codice Messanensi denuo edita.,"Deubner, Ludwig, 1877-1946.",Latin,1900
"The wonders of the invisible world. Being an account of the tryals of several witches lately executed in New England. To which is added, A farther account of the tryals of the New-England witches.","Mather, Cotton, 1663-1728.",English,1862
"Les obsessions et les impulsions,","Pitres, A. (Albert), 1848-1891.",French,1902
Vampires and vampirism.,"Wright, Dudley, 1868-1949.",English,1924
"The pagan Bible, or, Angels ancient & modern; an anthology on the soul & its helpers according to the ancients, Homer, Hesiod, Cebes, Plato, Cicero, Virgil: and the moderns, Plutarch, Apuleius, Maximus, Plotinus, Synesius, Zosimus, Proclus, & Dionysius the Areopagite.","Guthrie, Kenneth Sylvan, 1871-1940. com",English,1925
Satan's invisible world discovered ...,"Sinclair, George.",English,1871
"The demon; or, A case of extraordinary affliction, and gracious relief, the effects of spiritual agency; carefully examined, and faithfully narrated: with observations on demoniac possession, and animadversions on superstition.","Heaton, James.",English,1822
Demoniacal obsession and possession as causes of insanity.,"Williams, C.",English,1911
"Bibliographical notes on witchcraft in Massachusetts,","Moore, George Henry, 1823-1892.",English,1888
"Häxboken, Kulturhistoriska skildringar från det gamla Malmö.","Isberg, Anders Ulrik Martin, 1867-1940.",Swedish,1916
"The experiments used by a capt. of a man of war, for promoting conversation by pictures, and other mediums.",,English,1751
"""Aberglaube aller Zeiten.""","Fischer, Wilhelm, 1833-",German,1906
"More ghost stories of an antiquary,","James, M. R. (Montague Rhodes), 1862-1936.",English,1916
"Curiosités infernales,","Jacob, P. L., 1806-1884.",French,1913
"Christ. Thomasii Kurtze Lehr-Satze von dem Laster der Zauberey,  mit dessen eigenen Vertheidigung vermehret. Worbey Johann Kleins ... juristische Untersuchung,","Thomasius, Christian, 1655-1728.",German,1730
"Histoire des fantomes et des démons : qui se sont montrés parmi les hommes, ou, Choix d'anecdotes et de contes ...","Paban, Gabrielle de, Mme.",French,1819
"The Greek Pilgrim's progress : being a translation of the ""Picture"", by Kebes ; englished and illustrated by Kenneth Sylvan Guthrie.",,English,1925
"The demonism of the ages, spirit obsessions so common in spiritism, oriental and occidental occultism","Peebles, J. M. (James Martin), 1822-1922.",English,1904
"Die abschnitte über die geister und wunderbaren geschöpfe aus Qazwînî's Kosmographie,","Zakarīyā ibn Muhammad, al-Kazwīnī.",German,1905
Supplementary notes on witchcraft in Massachusetts: a critical examination of the alleged law of 1711 for reversing the attainders of the witches of 1692.,"Moore, George Henry, 1823-1892.",English,1884
"Final notes on witchcraft in Massachusetts: a summary vindication of the laws and liberties concerning attainders with corruption of blood, escheats, forfeitures for crime, and pardon of offenders, in reply to ""Reasons,"" etc., of Hon. Abner C. Goodell, jr.","Moore, George Henry, 1823-1892.",English,1885
"The Impossibility of witchcraft : plainly proving from scripture and reason that there never was a witch and that it is both irrational and impious to believe that there ever was ; in which the depositions against Jane Wenham, lately try'd and condemn'd for a witch at Hertford are confuted and exposed.",,English,1712
The last song of Lucifer.,"Lindsay, Vachel, 1879-1931.",English,1908
English witchcraft and James the First,"Kittredge, George Lyman, 1860-1941.",English,1912
"Reasons for concluding that the Act of 1711, reversing the attainders of the persons convicted of witchcraft in Massachusetts in the year 1692, became a law. Being a reply to Supplementary notes, etc., by George H. Moore, LL.D.,","Goodell, Abner Cheney, 1831-1914.",English,1884
Notes on the history of witchcraft in Massachusettes;,"Moore, George Henry, 1823-1892.",English,1883
Fra Drømmenes og Synernes Verden.,"Christmas-Dirckinck-Holmfeld, Tusky.",Danish,1912
"Doch die Existenz und Wuerkung des Teufels auf dieser Erde, gruendlich und ausfuehrlich erwiesen.",Riebe.,German,1776
"The gods . : the immacualte conception. Setting forth the mystery of the ages, and how this supposed impossible condition is really under natural and divine laws. Giving full details and a challenge to all the world.","Clymer, R. Swinburne (Reuben Swinburne), 1878-1966.",English,1910
"Essentials of demonology; a study of Jewish and Christian doctrine, its origin and development.","Langton, Edward, 1886-",English,1949
"Witchcraft and magic of Africa,","Kaigh, Frederick.",English,1947
Les secrets des sorciers noirs.,"Dim Delobsom, A. A.",French,1934
"Sorciers noirs et sorcier blanc : la magie, la sorcellerie et ses drames en Afrique.","Souroy, J. Ch.",French,1952
Exorcism and the art of healing in Ceylon.,"Wirz, Paul, 1892-1955.",English,1954
"An historical essay concerning witchcraft. With observations upon matters of fact; tending to clear the texts of the sacred Scriptures, and confute the vulgar errors about that point. And also two sermons: one in proof of the Christian religion; the other concerning the good and evil angels.","Hutchinson, Francis, 1661-1739.",English,1718
"An essay on demonology, ghosts and apparitions, and popular superstitions; also, an account of the witchcraft delusion at Salem, in 1692.","Thacher, James, 1754-1844.",English,1831
"The devil in Britain and America,","Ashton, John, 1834-",English,1896
"Histoire des diables de Loudun, ou, De la possession des religieuses ursulines, et de la condamnation [&] du suplice d'Urbain Grandier curé de la même ville.","Aubin, approximately 1655-",French,1693
"The ""pow-wow"" book; a treatise on the art of ""healing by prayer"" and ""laying on of hands"", etc., practiced by the Pennsylvania-Germans and others; testimonials; remarkable recoveries; popular superstitions; etc., including an account of the famous ""witch"" murder trial, at York, Pa.,","Aurand, A. Monroe (Ammon Monroe), 1895-1956.",English,1929
Die Hexenprozesse in der Schweiz.,"Bader, Guido, 1913-",German,1945
"An historical, physiological and theological treatise of spirits, apparitions, witchcrafts, and other magical practices ... With a refutation of Dr. Bekker's World bewitch'd; and other authors that have opposed the belief of them.","Beaumont, John, -1731.",English,1705
"Le monde enchanté; ou, Examen des communs sentimens touchant les esprits, leur nature, leur pouvoir, leur administration, & leurs opérations.  Et touchant les éfets [sic] que les hommes sont capables de produire par leur communication & leur vertu.  Divisé en quatre parties ...  Traduit du hollandois.","Bekker, Balthasar, 1634-1698.",French,1694
"Des rapports de l'homme avec le démon; essai historique et philosophique,","Bizouard, Joseph, b. 1797.",French,1863
"Les démoniaques dans l'art,","Charcot, J. M. (Jean Martin), 1825-1893.",French,1887
"Malleus maleficarum,","Institoris, Heinrich, 1430-1505.",English,1928
"The displaying of supposed witchcraft. Wherein is affirmed that there are many sorts of deceivers and impostors, and divers persons under a passive delusion of melancholy and fancy. But that there is a corporeal league made betwixt the devil and the witch, or that he sucks on the witches body...or the like, is utterly denied and disproved.  Wherein also is handled, the existence of angels and spirits, the truth of apparitions...the force of charms, and philters; with other abstruse matters.","Webster, John, 1610-1682.",English,1677
"Ioannis Bodini, Andegavensis, De magorvm dæmonomania, sev Detestando lamiarum ac magorum cum Satana commercio, libri IV. : Recens recogniti, et mvltis in locis à mendis repurgati. Accessit eivsdem opinionvm Ioannis Wieri confutatio, non minus docta quam pia.","Bodin, Jean, 1530-1596.",Latin,1603
"An examen of witches drawn from various trials of many of this sect in the district of Saint Oyan de Joux, commonly known as Saint Claude, in the county of Burgundy, including the procedure necessary to a judge in trials for witchcraft,","Boguet, Henry, -1619.",English,1929
Les noces de Sathan : drame ésotérique,"Bois, Jules, 1871-1943.",French,1892
"Recueil de lettres au sujet des malefices et du sortilege : servant de reponse aux Lettres du Sieur de Saint-Andre, medecin à Coutances, sur le même sujet","Boissier, A., active 1731.",French,1731
J.-K. Huysmans et le satanisme : d'après des documents inédits,"Bricaud, Joanny.",French,1913
"A treatise of specters; or, An history of apparitions, oracles, prophecies and predictions, with dreams, visions and revelations, and the cunning delusions of the devil,","Bromhall, Thomas.",English,1658
"An essay on evil spirits; or, reasons to prove their existence : in opposition to a lecture, delivered by the Rev. N.T. Heineken ...","Carlisle, William.",English,1827
"Demonology and devil-lore,","Conway, Moncure Daniel, 1832-1907.",English,1879
"Rowan tree and red thread : a Scottish witchcraft miscellany of tales, legends and ballads : together with a description of the witches̓ rites and ceremonies","Davidson, Thomas Douglas, 1911- com",English,1949
"Witchcraft and demonianism: a concise account derived from sworn depositions and confessions obtained in the courts of England and Wales,","Ewen, C. L'Estrange (Cecil L'Estrange), 1877-",English,1933
Witch hunting and witch trials : the indictments for witchcraft from the records of 1373 Assizes held for the home circuit A.D. 1559-1736,,English,1929
"Dæmonologia: a discourse on witchcraft as it was acted in the family of Mr. Edward Fairfax, of Fuyston, in the county of York, in the year 1621; along with the only two eclogues of the same author known to be in existence.  With a biographical introduction, and notes topographical & illustrative.","Fairfax, Edward, -1635.",English,1882
"Quellen und untersuchungen zur geschichte des hexenwahns und der hexenverfolgung im mittelalter. Mit einer untersuchung der geschichte des wortes hexe,","Hansen, Joseph, 1862-",German,1901
"Daemonologia sacra; or, A treatise of Satan's temptations.","Gilpin, Richard, 1625-1700.",English,1867
Zur naturgeschichte der hexen; vortrag gehalten in der jahres-versammlung des Naturwissenschaflichen vereines für Steiermark am 16. december 1882.,"Holzinger, J. B.",German,1883
"Le livre secret des grands exorcismes et bénédictions, prières antiques, formules occultes, recettes spéciales avec explication & application des signes & pentacles, contenus dans les Grands secrets merveilleux, les Prière liturgiques, le Livre des exorcismes et les petits secrets merveilleux ...","Houssay, Ernest Louis, 1844-1912.",French,1950
"Demonologia sacra : or, A treatise of Satan's temptations : in three parts","Gilpin, Richard, 1625-1700.",English,1735
Witchcraft.,"Hughes, Pennethorne.",English,1952
"Joan. Georgii Godelmanni, JC. & P.P. Tractatus de magis, veneficis et lamiis, recte cognoscendis et puniendis, propter varias & controversas de hac quæstione hominum sententias, utilissimus & cunctis ad rerumpublicarum gubernacula sedentibus maximè necessarius ...","Godelmann, Johann Georg, 1559-1611.",Latin,1676
"The trial of the Lancaster witches A. D. MDCXII,","Potts, Thomas, active 1612-1618.",English,1929
"Witches still live; a study of the black art today,","Kenyon, Theda.",English,1929
"Zauberwahn, die Greuel der Inquisition und Hexenprozesse; dem Ultramontanismus ein Spiegel, kulturhistorischer Vortrag, gehalten am 28. April 1913 im lib. Verein Frei-München.","Kübert, Hans.",German,1913
"Le musée des sorciers, mages et alchemistes,","Grillot de Givry, 1870-1929.",French,1929
"Witchcraft, magic & alchemy,","Grillot de Givry, 1870-1929.",English,1931
"Compendium maleficarum, collected in three books from many sources by Brother Francesco Maria Guazzo, showing iniquitous and execrable operations of witches against the human race, and the divine remedies by which they may be frustrated;","Guazzo, Francesco Maria.",English,1929
Ein Hexenprozess : ein Kapitel aus der Geschichte des dunkelsten Aberglaubens,"Günther, Ludwig, of Fürstenwalde.",German,1906
Os filhos do mêdo.,"Guimarães, Ruth.",Portuguese,1950
Another grey ghost book : with a chapter on prophetic dreams and a note on vampires,"Middleton, Jessie Adelaide.",English,1914
The white ghost book.,"Middleton, Jessie Adelaide.",English,1916
Magic and witchcraft.,"Moir, George, 1800-1870.",English,1852
"The god of the witches,","Murray, Margaret Alice.",English,1933
La sorcellerie; ses rapports avec les sciences biologiques.,"Regnault, Jules, 1873-",French,1897
"The discovery of witchcraft. Abridged replica of the first edition, 1584.","Scot, Reginald, 1538?-1599.",English,1954
"Letters on demonology and witchcraft : addressed to J.G. Lockhart,esq.","Scott, Walter, 1771-1832.",English,1830
Letters on demonology and witchcraft.,"Scott, Walter, 1771-1832.",English,1831
Letters on demonology and witchcraft,"Scott, Walter, 1771-1832.",English,1836
"The existence of evil spirits proved and their agency, particularly in relation to the human race, explain and illustrated","Scott, Walter, 1779-1858.",English,1853
Letters on demonology and witchcraft.,"Scott, Walter, 1771-1832.",English,1855
Demonology and witchcraft. In a series of letters addressed to J.G. Lockhart.,"Scott, Walter, 1771-1832.",English,1872
"Letters on demonology and witchcraft,","Scott, Walter, 1771-1832.",English,1885
"Witches and warlocks,","Sergeant, Philip W. (Philip Walsingham), 1872-1952",English,1936
"Exorzismus und Heilkunde auf Ceylon,","Wirz, Paul, 1892-1955.",German,1941
Exorcism and the art of healing in Ceylon.,"Wirz, Paul, 1892-1955.",English,1954
Witchcraft and superstitious record in the south-western district of Scotland,"Wood, J. Maxwell (John Maxwell), -1925.",English,1911
Friedrich Spee und die Hexenprozesse; die Stellung und Bedeutung der Cautio criminalis in der Geschichte der Hexenverfolgrungen.,"Zwetsloot, Hugo.",German,1954
"De spectris, lemuribus et magnis ...","Lavater, Ludovicus.",French,1687
De la sorcellerie et de la justice criminelle à Valenciennes (XVIe et XVIIe siècles),"Louïse, Théophile, b. 1822.",French,1861
The philosophy of witchcraft.,"Mitchell, J. (John), 1786-1856.",English,1839
"A treatise on magic, or, On the intercourse between spirits and men : with annotations","Quitman, Frederick H. (Frederick Henry), 1760-1832.",English,1810
"Witchcraft, its power in the world today","Seabrook, William, 1887-",English,1940
"The ghost world,","Dyer, T. F. Thiselton (Thomas Firminger Thiselton), 1848-",English,1893
De betooverde weereld,"Waeyen, Johannes van der, 1639-1701.",Dutch,1693
"An account of the daemoniacks, and of the power of casting out daemons, both in the New Testament, and in the four first centuries.","Whiston, William, 1667-1752.",English,1737
"Sadducismus triumphatus : or, A full and plain evidence concerning witches and apparitions. In two parts. The first treating of their possibility. The second of their real existence.","Glanvill, Joseph, 1636-1680.",English,1726
La sorciere: The witch of the middle ages.,"Michelet, Jules, 1798-1874.",English,1863
"Gott Satan; oder, Das Ende des Christentums,","Landsberger, Artur, 1876-",German,1924
"Manuale exorcismorum, continens instructiones, et exorcismos ad ejiciendos è corporibus obsessis spiritus malignos, & ad quâevis maleficia depellenda, & ad quascumque infestationes dâemonum reprimendas.","Eynatten, R. D. Maximilien de, d. 1631.",Latin,1678
Mœurs intimes du passé (onzième série). Le sabbat a-t-il existé? ...,"Cabanès, Augustin, 1862-1928.",French,1935
"Alte und neue Magie,","Braun, P., writer on magic.",German,1908
"The world bewitched; or, An examination of the common opinions concerning spirits : their nature, power, administration, and operations ...divided into 4 parts.","Bekker, Balthasar, 1634-1698.",English,1695
"Complementvm artis exorcisticæ. Cui simile numquam visum est: cum litanijs, benedictionibus, & doctrinis nouis, exorcismis efficacissimis, ac remedijs copiosis in maleficiatis expertis. Nvper correctvm, et in tres partes diuisum. Quarum prima dicitur Doctrinalis. Secunda Benedictionalis. Tertia Exorcismalis. Cui addita est oratio supra febricitantes.","Zacharias, father, of the order of St. Barnabas.",French,1618
"Flagellum dæmonum, exorcismos terribiles, potentissimos, & efficaces ... Accessit postremò pars secunds, quae fustis dæmonum inscribitur ...","Menghi, Girolamo, 1529-1609.",Italian,1697
"Trial, confession, and execution of Isobel Inch, John Stewart, Margaret, Barclay & Isobel Crawford, for witchcraft, at Irvine, Anno 1618. From the original manuscript.",,English,1855
"Letters on demonology and witchcraft, addressed to J. G. Lockhart, esq.","Scott, Walter, 1771-1832.",English,1830
La sorcière,"Michelet, Jules, 1798-1874.",French,1878
"Daemonomagia; siue Libellvs Erōtēmatikos de daemonis cacurgia, cacomagorum et lamiarum energiâ.","Elich, Philipp Ludwig.",Latin,1607
"Onzydige en beproefde gedagten, over de leer aangaande geesten en geesten-zienders","Hennings, Justus Christiaan, 1731-1815.",Dutch,1786
Satanism and witchcraft : the classic study of medieval superstition,"Michelet, Jules, 1798-1874.",English,1992
Witchcraft and Quakerism : a study in social history,"Gummere, Amelia M. (Amelia Mott), 1859-1937.",English,1908
Satanism and witchcraft : a study in medieval superstition,"Michelet, Jules, 1798-1874.",English,1939
Der Hexenhammer,"Institoris, Heinrich, 1430-1505.",German,1906
"Essentials of demonology; a study of Jewish and Christian doctrine, its origin and development.","Langton, Edward, 1886-",English,1949
"Witchcraft and magic of Africa,","Kaigh, Frederick.",English,1947
Les secrets des sorciers noirs.,"Dim Delobsom, A. A.",French,1934
"Sorciers noirs et sorcier blanc : la magie, la sorcellerie et ses drames en Afrique.","Souroy, J. Ch.",French,1952
Exorcism and the art of healing in Ceylon.,"Wirz, Paul, 1892-1955.",English,1954
"An historical essay concerning witchcraft. With observations upon matters of fact; tending to clear the texts of the sacred Scriptures, and confute the vulgar errors about that point. And also two sermons: one in proof of the Christian religion; the other concerning the good and evil angels.","Hutchinson, Francis, 1661-1739.",English,1718
"An essay on demonology, ghosts and apparitions, and popular superstitions; also, an account of the witchcraft delusion at Salem, in 1692.","Thacher, James, 1754-1844.",English,1831
"The devil in Britain and America,","Ashton, John, 1834-",English,1896
"Histoire des diables de Loudun, ou, De la possession des religieuses ursulines, et de la condamnation [&] du suplice d'Urbain Grandier curé de la même ville.","Aubin, approximately 1655-",French,1693
"The ""pow-wow"" book; a treatise on the art of ""healing by prayer"" and ""laying on of hands"", etc., practiced by the Pennsylvania-Germans and others; testimonials; remarkable recoveries; popular superstitions; etc., including an account of the famous ""witch"" murder trial, at York, Pa.,","Aurand, A. Monroe (Ammon Monroe), 1895-1956.",English,1929
Die Hexenprozesse in der Schweiz.,"Bader, Guido, 1913-",German,1945
"An historical, physiological and theological treatise of spirits, apparitions, witchcrafts, and other magical practices ... With a refutation of Dr. Bekker's World bewitch'd; and other authors that have opposed the belief of them.","Beaumont, John, -1731.",English,1705
"Le monde enchanté; ou, Examen des communs sentimens touchant les esprits, leur nature, leur pouvoir, leur administration, & leurs opérations.  Et touchant les éfets [sic] que les hommes sont capables de produire par leur communication & leur vertu.  Divisé en quatre parties ...  Traduit du hollandois.","Bekker, Balthasar, 1634-1698.",French,1694
"Des rapports de l'homme avec le démon; essai historique et philosophique,","Bizouard, Joseph, b. 1797.",French,1863
"Les démoniaques dans l'art,","Charcot, J. M. (Jean Martin), 1825-1893.",French,1887
"Malleus maleficarum,","Institoris, Heinrich, 1430-1505.",English,1928
"The displaying of supposed witchcraft. Wherein is affirmed that there are many sorts of deceivers and impostors, and divers persons under a passive delusion of melancholy and fancy. But that there is a corporeal league made betwixt the devil and the witch, or that he sucks on the witches body...or the like, is utterly denied and disproved.  Wherein also is handled, the existence of angels and spirits, the truth of apparitions...the force of charms, and philters; with other abstruse matters.","Webster, John, 1610-1682.",English,1677
"Ioannis Bodini, Andegavensis, De magorvm dæmonomania, sev Detestando lamiarum ac magorum cum Satana commercio, libri IV. : Recens recogniti, et mvltis in locis à mendis repurgati. Accessit eivsdem opinionvm Ioannis Wieri confutatio, non minus docta quam pia.","Bodin, Jean, 1530-1596.",Latin,1603
"An examen of witches drawn from various trials of many of this sect in the district of Saint Oyan de Joux, commonly known as Saint Claude, in the county of Burgundy, including the procedure necessary to a judge in trials for witchcraft,","Boguet, Henry, -1619.",English,1929
Les noces de Sathan : drame ésotérique,"Bois, Jules, 1871-1943.",French,1892
"Recueil de lettres au sujet des malefices et du sortilege : servant de reponse aux Lettres du Sieur de Saint-Andre, medecin à Coutances, sur le même sujet","Boissier, A., active 1731.",French,1731
J.-K. Huysmans et le satanisme : d'après des documents inédits,"Bricaud, Joanny.",French,1913
"A treatise of specters; or, An history of apparitions, oracles, prophecies and predictions, with dreams, visions and revelations, and the cunning delusions of the devil,","Bromhall, Thomas.",English,1658
"An essay on evil spirits; or, reasons to prove their existence : in opposition to a lecture, delivered by the Rev. N.T. Heineken ...","Carlisle, William.",English,1827
"Demonology and devil-lore,","Conway, Moncure Daniel, 1832-1907.",English,1879
"Rowan tree and red thread : a Scottish witchcraft miscellany of tales, legends and ballads : together with a description of the witches̓ rites and ceremonies","Davidson, Thomas Douglas, 1911- com",English,1949
"Witchcraft and demonianism: a concise account derived from sworn depositions and confessions obtained in the courts of England and Wales,","Ewen, C. L'Estrange (Cecil L'Estrange), 1877-",English,1933
Witch hunting and witch trials : the indictments for witchcraft from the records of 1373 Assizes held for the home circuit A.D. 1559-1736,,English,1929
"Dæmonologia: a discourse on witchcraft as it was acted in the family of Mr. Edward Fairfax, of Fuyston, in the county of York, in the year 1621; along with the only two eclogues of the same author known to be in existence.  With a biographical introduction, and notes topographical & illustrative.","Fairfax, Edward, -1635.",English,1882
"Quellen und untersuchungen zur geschichte des hexenwahns und der hexenverfolgung im mittelalter. Mit einer untersuchung der geschichte des wortes hexe,","Hansen, Joseph, 1862-",German,1901
"Daemonologia sacra; or, A treatise of Satan's temptations.","Gilpin, Richard, 1625-1700.",English,1867
Zur naturgeschichte der hexen; vortrag gehalten in der jahres-versammlung des Naturwissenschaflichen vereines für Steiermark am 16. december 1882.,"Holzinger, J. B.",German,1883
"Le livre secret des grands exorcismes et bénédictions, prières antiques, formules occultes, recettes spéciales avec explication & application des signes & pentacles, contenus dans les Grands secrets merveilleux, les Prière liturgiques, le Livre des exorcismes et les petits secrets merveilleux ...","Houssay, Ernest Louis, 1844-1912.",French,1950
"Demonologia sacra : or, A treatise of Satan's temptations : in three parts","Gilpin, Richard, 1625-1700.",English,1735
Witchcraft.,"Hughes, Pennethorne.",English,1952
"Joan. Georgii Godelmanni, JC. & P.P. Tractatus de magis, veneficis et lamiis, recte cognoscendis et puniendis, propter varias & controversas de hac quæstione hominum sententias, utilissimus & cunctis ad rerumpublicarum gubernacula sedentibus maximè necessarius ...","Godelmann, Johann Georg, 1559-1611.",Latin,1676
"The trial of the Lancaster witches A. D. MDCXII,","Potts, Thomas, active 1612-1618.",English,1929
"Witches still live; a study of the black art today,","Kenyon, Theda.",English,1929
"Zauberwahn, die Greuel der Inquisition und Hexenprozesse; dem Ultramontanismus ein Spiegel, kulturhistorischer Vortrag, gehalten am 28. April 1913 im lib. Verein Frei-München.","Kübert, Hans.",German,1913
"Le musée des sorciers, mages et alchemistes,","Grillot de Givry, 1870-1929.",French,1929
"Witchcraft, magic & alchemy,","Grillot de Givry, 1870-1929.",English,1931
"Compendium maleficarum, collected in three books from many sources by Brother Francesco Maria Guazzo, showing iniquitous and execrable operations of witches against the human race, and the divine remedies by which they may be frustrated;","Guazzo, Francesco Maria.",English,1929
Ein Hexenprozess : ein Kapitel aus der Geschichte des dunkelsten Aberglaubens,"Günther, Ludwig, of Fürstenwalde.",German,1906
Os filhos do mêdo.,"Guimarães, Ruth.",Portuguese,1950
Another grey ghost book : with a chapter on prophetic dreams and a note on vampires,"Middleton, Jessie Adelaide.",English,1914
The white ghost book.,"Middleton, Jessie Adelaide.",English,1916
Magic and witchcraft.,"Moir, George, 1800-1870.",English,1852
"The god of the witches,","Murray, Margaret Alice.",English,1933
La sorcellerie; ses rapports avec les sciences biologiques.,"Regnault, Jules, 1873-",French,1897
"The discovery of witchcraft. Abridged replica of the first edition, 1584.","Scot, Reginald, 1538?-1599.",English,1954
"Letters on demonology and witchcraft : addressed to J.G. Lockhart,esq.","Scott, Walter, 1771-1832.",English,1830
Letters on demonology and witchcraft.,"Scott, Walter, 1771-1832.",English,1831
Letters on demonology and witchcraft,"Scott, Walter, 1771-1832.",English,1836
"The existence of evil spirits proved and their agency, particularly in relation to the human race, explain and illustrated","Scott, Walter, 1779-1858.",English,1853
Letters on demonology and witchcraft.,"Scott, Walter, 1771-1832.",English,1855
Demonology and witchcraft. In a series of letters addressed to J.G. Lockhart.,"Scott, Walter, 1771-1832.",English,1872
"Letters on demonology and witchcraft,","Scott, Walter, 1771-1832.",English,1885
"Witches and warlocks,","Sergeant, Philip W. (Philip Walsingham), 1872-1952",English,1936
"Exorzismus und Heilkunde auf Ceylon,","Wirz, Paul, 1892-1955.",German,1941
Exorcism and the art of healing in Ceylon.,"Wirz, Paul, 1892-1955.",English,1954
Witchcraft and superstitious record in the south-western district of Scotland,"Wood, J. Maxwell (John Maxwell), -1925.",English,1911
Friedrich Spee und die Hexenprozesse; die Stellung und Bedeutung der Cautio criminalis in der Geschichte der Hexenverfolgrungen.,"Zwetsloot, Hugo.",German,1954
"De spectris, lemuribus et magnis ...","Lavater, Ludovicus.",French,1687
De la sorcellerie et de la justice criminelle à Valenciennes (XVIe et XVIIe siècles),"Louïse, Théophile, b. 1822.",French,1861
The philosophy of witchcraft.,"Mitchell, J. (John), 1786-1856.",English,1839
"A treatise on magic, or, On the intercourse between spirits and men : with annotations","Quitman, Frederick H. (Frederick Henry), 1760-1832.",English,1810
"Witchcraft, its power in the world today","Seabrook, William, 1887-",English,1940
"The ghost world,","Dyer, T. F. Thiselton (Thomas Firminger Thiselton), 1848-",English,1893
De betooverde weereld,"Waeyen, Johannes van der, 1639-1701.",Dutch,1693
"An account of the daemoniacks, and of the power of casting out daemons, both in the New Testament, and in the four first centuries.","Whiston, William, 1667-1752.",English,1737
"Sadducismus triumphatus : or, A full and plain evidence concerning witches and apparitions. In two parts. The first treating of their possibility. The second of their real existence.","Glanvill, Joseph, 1636-1680.",English,1726
La sorciere: The witch of the middle ages.,"Michelet, Jules, 1798-1874.",English,1863
"Gott Satan; oder, Das Ende des Christentums,","Landsberger, Artur, 1876-",German,1924
"Manuale exorcismorum, continens instructiones, et exorcismos ad ejiciendos è corporibus obsessis spiritus malignos, & ad quâevis maleficia depellenda, & ad quascumque infestationes dâemonum reprimendas.","Eynatten, R. D. Maximilien de, d. 1631.",Latin,1678
Mœurs intimes du passé (onzième série). Le sabbat a-t-il existé? ...,"Cabanès, Augustin, 1862-1928.",French,1935
"Alte und neue Magie,","Braun, P., writer on magic.",German,1908
"The world bewitched; or, An examination of the common opinions concerning spirits : their nature, power, administration, and operations ...divided into 4 parts.","Bekker, Balthasar, 1634-1698.",English,1695
"Complementvm artis exorcisticæ. Cui simile numquam visum est: cum litanijs, benedictionibus, & doctrinis nouis, exorcismis efficacissimis, ac remedijs copiosis in maleficiatis expertis. Nvper correctvm, et in tres partes diuisum. Quarum prima dicitur Doctrinalis. Secunda Benedictionalis. Tertia Exorcismalis. Cui addita est oratio supra febricitantes.","Zacharias, father, of the order of St. Barnabas.",French,1618
"Flagellum dæmonum, exorcismos terribiles, potentissimos, & efficaces ... Accessit postremò pars secunds, quae fustis dæmonum inscribitur ...","Menghi, Girolamo, 1529-1609.",Italian,1697
"Trial, confession, and execution of Isobel Inch, John Stewart, Margaret, Barclay & Isobel Crawford, for witchcraft, at Irvine, Anno 1618. From the original manuscript.",,English,1855
"Letters on demonology and witchcraft, addressed to J. G. Lockhart, esq.","Scott, Walter, 1771-1832.",English,1830
