Title,Author,Language,Year
D. D. Francisci Torreblanca ... epitome delictorum sive de magia : in qua aperta vel occulta invocatio dæmonis intervenit.,"Torreblanca Villalpando, Francisco, -1645.",Latin,1678
"The magical writings of Thomas Vaughan (Eugenius Philatethes) A verbatim reprint of his first four treatises: Anthroposophia theomagica, Anima magica abscondita, Magia adamica, and the true Cœlum terræ;","Vaughan, Thomas, 1622-1666.",English,1888
"Magic, a sociological study.","Webster, Hutton, 1875-1955.",English,1948
The history of magic,"Ennemoser, Joseph, 1787-1854.",English,1854
"Letters on natural magic : addressed to Sir Walter Scott, Bart.","Brewster, David, Sir, 1781-1868.",English,1839
"An history of magic, witchcraft, and animal magnetism.","Colquhoun, J. C. (John Campbell), 1785-1854.",English,1851
"Disqvisitionvm magicarvm libri sex, qvibvs continetvr accvrata cvriosarvm artivm, et vanarum superstitionum confutatio vtilis theologis, jurisconsultis, medicis, philologis ...","Del Rio, Martin Antoine, 1551-1608.",Latin,1633
Magie & religion dans l'Afrique du nord,"Doutté, Edmond, 1867-1926.",French,1909
Die Magie als Naturwissenschaft,"Du Prel, Karl Ludwig August Friedrich Maximilian Alfred, freiherr, 1839-1899.",German,1899
"Mistische Nächte, oder, Der Schlüssel zu den Geheimnissen des Wunderbaren : ein Nachtrag zu den Aufschlüssen über Magie","Eckartshausen, Karl von, 1752-1803.",German,1791
The magical ritual of the sanctum regnum interpreted by the Tarot trumps.,"Lévi, Eliphas, 1810-1875.",English,1971
La magie et l'hypnose : recueil de faits et d'expériences justifiant et prouvant les enseignements de l'occultisme,"Papus, 1865-1916.",French,1897
"Traité élémentaire de magie pratique; adaptation, realisation, théorie de la magie, avec un appendice sur l'histoire & la bibliographie de l'évocation magique et un dictionnaire de la magie des campagnes, des philtres d'amour, etc.","Papus, 1865-1916.",French,1893
"Katechismus der Magie : nach Immanuel Kant's ""Von der Macht des Gemütes"" und Ernst Marcus' ""Theorie der natürlichen Magie"" : im Frage- und Antworform Gemeinfasslich dargestellt","Friedlaender, Salomo, 1871-1946.",German,1925
Magic and fetishism,"Haddon, Alfred C. (Alfred Cort), 1855-1940.",English,1910
"Magie, hekserij en toverij","Held, Gerrit Jan, 1906-1955.",Dutch,1950
La magie dans l'Inde antique,"Henry, Victor, 1850-1907.",French,1904
"Le grande livre de destin : Répertoire général des sciences occultes d'aprés Albert-le-Grand, N. Flamel, Paracelse, Rober Bacon, Corneille, Agrippa, le Pape Jean XXII, Ch. Fourier, Eteilla, Madame Lénormand, Gall, Lavater, tec. ...","La Grange, A.-Frédéric de.",French,1850
Aberglaube und Zauberei von den ältesten Zeiten an bis in die Gegenwart.,"Lehmann, Alfred Georg Ludvig, 1858-1921.",German,1898
Aberglaube und Zauberei von den ältesten Zeiten an bis in die Gegenwart.,"Lehmann, Alfred Georg Ludvig, 1858-1921.",German,1925
The secret science behind miracles.,"Long, Max Freedom, 1890-1971.",English,1948
The secret science behind miracles.,"Long, Max Freedom, 1890-1971.",English,1954
Physiologie des Magischen.,"Reich, Eduard, 1836-1919.",German,1890
"Le streghe,","Sacchi, Defendente, 1796-1840.",Italian,1830
De arte Tritemiana.,"Stecksenius, Israel D.",Latin,1728
The ancients book of magic; an historical record of the secret procedures and practices of the ancient masters and adepts.,"De Claremont, Lewis.",English,1936
Les mystères de la magie; Astrologie. Kabbale. Sorcellerie. Occultisme. Messes diaboliques. Infernaux sortilèges.,"Gallais, Alphonse.",French,1909
Aufschlüsse zür Magie aus geprüften Erfahrungen über verborgene philosophische Wissenschaften und verdeckte Geheimnisse der Natur.,"Eckartshausen, Karl von, 1752-1803.",German,1788
"Le véritable trésor des sciences magiques, enrichi de compositions originales de l'auteur,","Gallais, Alphonse.",French,1910
"Magia blanca y negra; o, La ciencia de la vida finita e infinita, conteniendo sugestiones practicas para los estudiantes del ocultismo,","Hartmann, Franz, d. 1912.",Spanish,1894
"Die weisse und schwarze Magie; oder, Das Gesetz des geistes in der Natur.","Hartmann, Franz, d. 1912.",German,1900
"Die weisse und schwarze Magie; oder, Das Geseiz des Geistes in der Natur.","Hartmann, Franz, d. 1912.",German,1903
Hexen unter uns? Magie und Zauberglauben in unserer Zeit.,"Kruse, Johann, 1889-1983.",German,1951
Aberglaube und Zauberei von den ältesten Zeiten an bis in die Gegenwart;,"Lehmann, Alfred, 1858-1921.",German,1908
"Magie; Geschichte, Theorie, Praxis.","Schertel, Ernst.",German,1923
Traité de sorcellerie et de magie pratique;,"Simard, R. J.",French,1930
Del congresso notturno delle lammie libri tre. Saggi ungono due dissertazioni epistolari sopra l'arte magica ...,"Tartarotti, Girolamo, 1706-1761.",Italian,1799
Im Banne der Magie; wunderbare Erlebnisse unter allen Himmelsstrichen -- einst und jetzt ...,"Wieser, Edwin, 1896-",German,1950
"Svindlaremagiker,","Wilsmann, Aloys Christof.",Swedish,1939
"Abracadabra, oder Die dritte und letzte stufe der höhern weihe in die gesammten geheimen wissenschaften, oder magie","Wohlfarth, Johann Friedrich Theodor, 1795-1879.",German,1836
Modern magic.,"Schele de Vere, M. (Maximilian), 1820-1898.",English,1873
"The magic of jewels and charms,","Kunz, George Frederick, 1856-1932.",English,1915
"La strega  [electronic resource] : ovvero, Degli inganni de' demoni","Pico della Mirandola, Giovanni Francesco, 1470-1533.",Italian,1864
The history of magick :,"Naudé, Gabriel, 1600-1653.",English,1657
"Witchcraft, oracles and magic among the Azande,","Evans-Pritchard, E. E. (Edward Evan), 1902-1973.",English,1937
"Lives of the necromancers. Or, An account of the most eminent persons in successive ages, who have claimed for themselves, or to whom has been imputed by others, the exercise of magical power.","Godwin, William, 1756-1836.",English,1835
Lives of the necromancers:...,"Godwin, William, 1756-1836.",English,1834
The delights of chess.,"Fraenkel, Heinrich, 1897-1986.",English,1960
"La magie et l'astrologie dans l'antiquité et au moyen age : ou, Étude sur les superstitions païennes qui se sont perpétuées jusqu'a nos jours","Maury, L.-F.-Alfred (Louis-Ferdinand-Alfred), 1817-1892.",French,1877
"Egyptian magic,","Budge, E. A. Wallis (Ernest Alfred Wallis), Sir, 1857-1934.",English,1899
"Hindu magic,","Carrington, Hereward, 1880-1959.",English,1909
Adventures of the mind.,"Castiglioni, Arturo, 1874-1953.",English,1946
Incantesimo e magia.,"Castiglioni, Arturo, 1874-1953.",Italian,1934
"Les marchands de miracles; histoire de la superstition humaine,","Caston, Alfred de.",French,1864
"La magie et la sorcellerie en France,","Cauzons, Th. de (Thomas de)",French,1910
